	Genotype	total_survivors	total_cells	frequency_true	Frequency (10^10)	error	Lower_CI_true	Upper_CI_true	Lower_CI	Upper_CI
0	mlh1Δtlc1Δ	333.0	4498295.77	7.402803573318613e-05	740280.3573318614	159017.19946913875	6.60771757597292e-05	8.197889570664307e-05	660771.757597292	819788.9570664307
1	msh2Δtlc1Δ	724.0	4301936.328265	0.00016829630769825784	1682963.0769825785	245162.94166710437	0.00015603816061490262	0.00018055445478161306	1560381.6061490262	1805544.5478161306
2	tlc1Δ	1990.0	44864999.666026294	4.4355288416661096e-05	443552.88416661095	38975.82391174586	4.24064972210738e-05	4.630407961224839e-05	424064.97221073805	463040.7961224839
3	mph1Δtlc1Δ	124.0	1569750.0649999997	7.899346702686712e-05	789934.6702686712	278066.8684849306	6.50901236026206e-05	9.289681045111365e-05	650901.2360262059	928968.1045111365
